Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007
Pakistan,PAK,Urban population,SP.URB.TOTL,46947761,48435636,49919688,51408754,52922902,54474508,56069494,57704173
Panama,PAN,Urban population,SP.URB.TOTL,1884807,1930933,1977506,2024626,2072347,2120752,2169857,2219605
Peru,PER,Urban population,SP.URB.TOTL,19326872,19683542,20014062,20323597,20619827,20909079,21194851,21477302
Philippines,PHL,Urban population,SP.URB.TOTL,35981497,36689356,37399542,38104244,38793194,39459729,40099208,40715257
Palau,PLW,Urban population,SP.URB.TOTL,13437,13591,13719,13789,13979,14077,14055,13920
Papua New Guinea,PNG,Urban population,SP.URB.TOTL,772116,787575,802822,818125,834122,851417,870145,890076
Poland,POL,Urban population,SP.URB.TOTL,23611695,23622394,23621395,23563051,23506503,23453429,23396235,23340838
Pre-demographic dividend,PRE,Urban population,SP.URB.TOTL,176591437,184135959,192095202,200544111,209359243,218556371,227988472,237352061
Puerto Rico,PRI,Urban population,SP.URB.TOTL,3596716,3602364,3604909,3605100,3603694,3596360,3579032,3555977
"Korea, Dem. People's Rep.",PRK,Urban population,SP.URB.TOTL,13622624,13762042,13903312,14042591,14174854,14295887,14405016,14503806
Portugal,PRT,Urban population,SP.URB.TOTL,5597602,5704057,5800192,5886957,5966051,6041725,6117343,6193886
Paraguay,PRY,Urban population,SP.URB.TOTL,2945381,3038082,3131088,3209505,3283895,3356601,3427298,3496245
West Bank and Gaza,PSE,Urban population,SP.URB.TOTL,2103044,2164070,2226847,2291359,2357720,2425915,2496025,2568140
Pacific island small states,PSS,Urban population,SP.URB.TOTL,677908,689730,700547,711326,722949,735487,749662,765265
Post-demographic dividend,PST,Urban population,SP.URB.TOTL,780372719,787666950,795821373,803825697,811896212,819799687,827730297,835682013
French Polynesia,PYF,Urban population,SP.URB.TOTL,134894,137079,139148,142127,145485,148584,151389,153913
Qatar,QAT,Urban population,SP.URB.TOTL,570611,593524,619672,660437,731410,842875,998885,1193061
Romania,ROU,Urban population,SP.URB.TOTL,11895672,11697189,11469356,11415407,11378651,11336529,11297334,11159030
Russian Federation,RUS,Urban population,SP.URB.TOTL,107528803,107067910,106569238,106133030,105771342,105433226,105152927,105037446
Rwanda,RWA,Urban population,SP.URB.TOTL,1184182,1302909,1413808,1446502,1467702,1495058,1529862,1569213
South Asia,SAS,Urban population,SP.URB.TOTL,380859153,391801693,403820545,416008189,428369849,440862691,453479284,466224390
Saudi Arabia,SAU,Urban population,SP.URB.TOTL,16499663,16978443,17510546,18084336,18680569,19286100,19893610,20507055
Sudan,SDN,Urban population,SP.URB.TOTL,8863017,9104026,9358047,9620037,9882155,10139061,10389194,10635641
Senegal,SEN,Urban population,SP.URB.TOTL,3950445,4061008,4175900,4311250,4465214,4626134,4794668,4971099
Singapore,SGP,Urban population,SP.URB.TOTL,4027887,4138012,4175950,4114826,4166664,4265762,4401365,4588599
Solomon Islands,SLB,Urban population,SP.URB.TOTL,65255,68684,72269,75997,79847,83796,87841,91999
Sierra Leone,SLE,Urban population,SP.URB.TOTL,1633299,1705142,1793090,1890694,1988625,2084310,2174481,2257436
El Salvador,SLV,Urban population,SP.URB.TOTL,3468697,3524432,3578118,3630072,3680964,3731013,3780593,3832861
San Marino,SMR,Urban population,SP.URB.TOTL,25659,26079,26463,26840,27250,27697,28131,28567
Somalia,SOM,Urban population,SP.URB.TOTL,2949757,3088299,3229504,3411445,3599379,3793358,3993408,3812005
Serbia,SRB,Urban population,SP.URB.TOTL,3966301,3976219,3989274,3997403,4004805,4009310,4010029,4010264
Sub-Saharan Africa (excluding high income),SSA,Urban population,SP.URB.TOTL,208563559,217004532,225843464,235053899,244676999,254798440,265315839,275933426
South Sudan,SSD,Urban population,SP.URB.TOTL,1023148,1072397,1121013,1171503,1227929,1292714,1366953,1448498
Sub-Saharan Africa,SSF,Urban population,SP.URB.TOTL,208604476,217045658,225886059,235096219,244719381,254841253,265359805,275977886
Small states,SST,Urban population,SP.URB.TOTL,14371896,14706526,15046776,15408128,15810887,16272295,16797607,17398468
Sao Tome and Principe,STP,Urban population,SP.URB.TOTL,76003,78716,81916,85379,89124,93168,97568,102306
Suriname,SUR,Urban population,SP.URB.TOTL,312914,317003,321120,325279,329467,333051,336600,340176
Slovak Republic,SVK,Urban population,SP.URB.TOTL,3030239,3020933,3011770,3001728,2993058,2985293,2977317,2970070
Slovenia,SVN,Urban population,SP.URB.TOTL,1009459,1011568,1014358,1019460,1024627,1030904,1038715,1049080
Sweden,SWE,Urban population,SP.URB.TOTL,7454878,7478923,7508835,7542470,7577769,7613645,7666670,7738188
Eswatini,SWZ,Urban population,SP.URB.TOTL,228092,228619,228523,228043,227487,227118,227008,227600
Sint Maarten (Dutch part),SXM,Urban population,SP.URB.TOTL,30519,30600,30777,31472,32488,33011,33441,33811
Seychelles,SYC,Urban population,SP.URB.TOTL,40917,41126,42595,42320,42382,42813,43966,44460
Syrian Arab Republic,SYR,Urban population,SP.URB.TOTL,8524943,8771256,9000524,9238597,9523090,9875009,10319825,10835837
Turks and Caicos Islands,TCA,Urban population,SP.URB.TOTL,17055,18419,19979,21659,23287,24727,25949,26979
Chad,TCD,Urban population,SP.URB.TOTL,1807913,1880533,1957352,2037420,2119063,2201166,2283208,2365687
East Asia & Pacific (IDA & IBRD countries),TEA,Urban population,SP.URB.TOTL,650520936,675449833,701911620,728699999,755880080,783454245,810733365,837897161
Europe & Central Asia (IDA & IBRD countries),TEC,Urban population,SP.URB.TOTL,275123952,275340077,275711768,276458405,277364863,278330263,279379792,280560824
Togo,TGO,Urban population,SP.URB.TOTL,1620474,1688671,1757067,1826540,1898628,1974457,2054409,2138197
Thailand,THA,Urban population,SP.URB.TOTL,19758315,20680736,21613068,22554369,23508151,24472850,25451684,26439735
Tajikistan,TJK,Urban population,SP.URB.TOTL,1647389,1674595,1703440,1733969,1766067,1799848,1835317,1872596
Turkmenistan,TKM,Urban population,SP.URB.TOTL,2073490,2105733,2137297,2168975,2201754,2237159,2275569,2317262
Latin America & the Caribbean (IDA & IBRD countries),TLA,Urban population,SP.URB.TOTL,380470236,387870685,395051668,402144612,409148527,416116658,423065393,429986900
Timor-Leste,TLS,Urban population,SP.URB.TOTL,214574,221870,230481,240026,249873,259142,268075,276809
Middle East & North Africa (IDA & IBRD countries),TMN,Urban population,SP.URB.TOTL,152748648,156474042,160264233,164117221,168026712,172112631,176293230,180481187
Tonga,TON,Urban population,SP.URB.TOTL,22543,22691,22844,23004,23176,23365,23581,23826
South Asia (IDA & IBRD),TSA,Urban population,SP.URB.TOTL,380859153,391801693,403820545,416008189,428369849,440862691,453479284,466224390
